entity,category1,category2,percent1,percent2,sentence,entity_start,entity_end
atlanta,O,LOC,75,25,"Reedel Atlantas avatavate 26. suveolümpiamängude ühe meelelahutuskeskuse , õlletootja Budweiseri “ Bud Worldi ” esisel kõrguva skulptuuriga on ka de Coubertin muudetud üheks paljudest turunduse tööriistadest .",7,15
atlanta,O,LOC,75,25,AP teatel on isegi olüpiamängude ajal Atlantas korda valvavate politseinike vormiriietel väikesed reklaamid .,38,46
atlanta,O,LOC,75,25,"Oma ulatuselt kõiki eelnevaid mänge ületavate Atlanta suveolümpiamängude suurimad sponsorid on Coca Cola , kelle peakorter on Atlantas , Delta Air Lines , Eastman Kodak , Visa , AT & T , McDonald ' s , IBM , Bausch & Lomb , Time , Xerox , Panasonic ja veel paljud maailma suurfirmad .",126,134
atlanta,O,LOC,75,25,"“ Inimesed ei näeks suurfirmade abita Atlantas niivõrd suurejoonelisi mänge , ” ütles Atlanta olümpiamängude korralduskomitee pressiesindaja Scott Mall .",38,46
atlanta,O,LOC,75,25,"Poom loodab , et Atlanta olümpiakuld West jääb meeskonda hooaja lõpuni .",17,24
atlanta,O,LOC,75,25,Enamik päevast kulus Atlanta olümpiamängudel ajakirjanike vastuvõtuga tegeleva Bob Brennani ülekuulamisele .,21,28
atlanta,O,LOC,75,25,"Atlanta tänavad on täis suurfirmade logodega kaetud lippe , plakateid ja kuulutustetahvleid .",0,7
atlanta,O,LOC,75,25,"Oma ulatuselt kõiki eelnevaid mänge ületavate Atlanta suveolümpiamängude suurimad sponsorid on Coca Cola , kelle peakorter on Atlantas , Delta Air Lines , Eastman Kodak , Visa , AT & T , McDonald ' s , IBM , Bausch & Lomb , Time , Xerox , Panasonic ja veel paljud maailma suurfirmad .",46,53
atlanta,O,LOC,75,25,"Atlanta olümpiamängude korralduskomitee ACOG on sõlminud lepingud kokku kümne peasponsori , 23 sponsori ja 120 litsentsivõtjaga .",0,7
atlanta,O,LOC,75,25,Turule on paisatud 127 Atlanta mängudega seotud litsenseeritud toodet .,23,30
atlanta,O,LOC,75,25,"Atlantasse , kuhu oodatakse olümpiamängudeks kolme miljonit külalist , on suurfirmade toel kerkinud eelmisel laupäeval avatud “ Centennial Olympic Park ” ( “ Sajandi olümpiapark ” ) -meelelahutuskeskus , mis koosneb Coca Cola Olympic Cityst , Budweiseri Bud Worldist koos temaga kaasneva Clydales Parkiga , AT & T Global Olympic Village ' ist ning General Motorsi püstitatud amfiteatrist .",0,10
atlanta,O,LOC,75,25,"“ Inimesed , kes tulevad olümpiale , satuvad kaubandus- ja meelelahutusšõule , ” ütles Atlanta olümpiamängude turundusprogrammi looja Michael Jacobson .",87,94
atlanta,O,LOC,75,25,"Kogu Atlanta mängudel kasutatav tark- ja riistvara tuleb IBMilt , ajamõõtmist teeb Swatch , trükisüsteemid tarnib Xerox , filmiilmutuse teeb Kodak .",5,12
atlanta,O,LOC,75,25,Mitmed suurfirmad kulutavad Atlanta olümpiamängude ajal läbi viidavale reklaamikampaaniale sadu miljoneid dollareid .,28,35
atlanta,O,LOC,75,25,"Atlanta mängud on kommertsi ägedaks rünnakuks valmis , sest mängude korraldajad sõltuvad firmade toetusest .",0,7
atlanta,O,LOC,75,25,"Atlanta olümpiamängude korraldamiskomitee eelarve on 1,7 miljardit dollarit , enamik sellest tuleb erafirmadelt .",0,7
atlanta,O,LOC,75,25,"USA telekompanii NBC maksis 1980. aasta Moskva olümpiamängude teleülekannete eest ajakirja “ Business Week ” andmetel 87 miljonit dollarit , 17 päeva kestvate Atlanta olümpiamängude teleõigused ostis NBC juba 456 miljoni eest .",159,166
atlanta,O,LOC,75,25,"Mitmed kriitikud on öelnud , et Atlanta olümpiamängudega kaasnev liigne kommertslikkus tuleneb Ameerikas valitsevast põhimõttest “ kõik on äri ” .",32,39
atlanta,O,LOC,75,25,Ka ROK teeb Atlanta olümpiamängude korraldamisega kaasnevast kommertsist omad järeldused .,12,19
atlanta,O,LOC,75,25,"Atlanta mängude organiseerimiskomitee ACOG , mis on eraorganisatsioon , muretseb mängude korraldamiseks vajaliku 1,7 miljardit dollarit omal käel .",0,7
atlanta,O,LOC,75,25,"Atlanta linn ja Georgia osariik , kes lõikavad mängude toimumisest kõige rohkem kasu , toetavad korraldajaid vaid 80 miljoni dollariga .",0,7
atlanta,O,LOC,75,25,"“ Inimesed ei näeks suurfirmade abita Atlantas niivõrd suurejoonelisi mänge , ” ütles Atlanta olümpiamängude korralduskomitee pressiesindaja Scott Mall .",86,93
atlanta,O,LOC,75,25,Läinud aastal Göteborgi MMil tippvõistluste õhkkonda nuusutanu tahab jõuda Atlanta olümpiamängudele .,75,82
atlanta,O,LOC,75,25,"Kaheksa Eesti kergejõustiklast on Atlanta olümpiamängude A-normi täitnud , lisaks Tammertile püüavad kahe kuu jooksul nõutava tulemuse ületada Ants Kiisa , Pavel Loskutov , Ramon Kaju ja Eha Rünne .",34,41
atlanta,O,LOC,75,25,Nädalate kaupa on kõneldud-kirjutatud Atlanta olümpiamängudest .,38,45
atlanta,O,LOC,75,25,Nii riigi kui Atlanta linna osa mängude korraldamisel on väga tagasihoidlik .,14,21
atlanta,O,LOC,75,25,"Uuringust selgub , et 2000. a esimesel poolel oli kõige rohkem ehk 40,6 miljonit reisijat USAs Atlanta Hartsfieldi lennujaamas .",95,102
el,ORG,LOC,75,25,NATO ja EL olevat täiesti uus ja enneolematu tase Euroopa integratsioonis .,8,10
el,ORG,LOC,75,25,"Ka meie lõimumine sedavõrd oluliste kooslustega nagu NATO või EL saab tulemuslikult edasi areneda ainult juhul , kui oleme endale sõnastanud ja teistele selgeks teinud oma vitaalsed huvid .",62,64
el,ORG,LOC,75,25,"Keskmiselt läheb raisku viis protsenti EL-i eelarvest , kokku viis miljardit eurot .",39,43
